Year,Alicante,Almería,Araba,Asturias,Ávila,Badajoz,Baleares Islas
2005,50.7,219.6,82.4,27.9,99.6,17.2,93.4
2006,49.7,217.1,81.9,27.6,100.5,17.2,92.4
2007,49.6,218.9,80.8,27.4,102.8,17.8,93.5
2008,51.8,225.1,81.6,28.2,106,18.8,95.9
2009,53.4,230,82.6,28.3,107.2,19.2,96.6
2010,55,230.3,81.4,28.6,107.4,19.5,99.7
2011,55.5,231.7,80.1,28.3,107.7,19.6,99.1
2012,55.4,230.2,77.6,27.8,107.6,19.2,98.9
2013,53.7,226.2,79.1,26.6,103.8,18.5,94.8
2014,53.7,228.3,81.3,26.9,105.2,18.7,95.6
2015,52.2,225.8,81.8,26.3,103.4,18,95.3
2016,49.7,222.4,82.2,25.9,99.1,17.4,91.9
2017,50.4,220,80.7,25.5,93.9,16.8,88.7
