year,mes,Total,Agricultura,Industria,Construccion,Servicios,SinEmpleoAnt
2005,Enero,2176599,55704,311643,257056,1333246,218950
2005,Febrero,2165420,54083,309165,247611,1333490,221071
2005,Marzo,2144835,56453,310497,247405,1308167,222313
2005,Abril,2095945,55417,304003,236261,1276372,223892
2005,Mayo,2007393,56349,295928,219919,1207691,227506
2005,Junio,1974860,57647,287583,212251,1185697,231682
2005,Julio,1989417,58780,287705,218166,1198440,226326
2005,Agosto,2019110,58958,297670,230430,1208039,224013
2005,Septiembre,2013286,60744,290639,218645,1207863,235395
2005,Octubre,2052861,66136,293124,220582,1249976,223043
2005,Noviembre,2095580,66737,293531,223833,1282800,228679
2005,Diciembre,2102937,65227,301319,245100,1266389,224902
2006,Enero,2171503,66401,305207,241161,1329141,229593
2006,Febrero,2169277,67906,303153,234506,1329703,234009
2006,Marzo,2148530,67894,299694,227740,1316339,236863
2006,Abril,2075676,64653,295033,220871,1265554,229565
2006,Mayo,2004528,61571,285714,210541,1222927,223775
2006,Junio,1959754,62694,278270,207356,1189691,221743
2006,Julio,1954984,62461,276777,213255,1186054,216437
2006,Agosto,1983677,61613,285012,228587,1196743,211722
2006,Septiembre,1966166,61520,277276,215645,1193302,218423
2006,Octubre,1992836,62937,276553,213405,1215596,224345
2006,Noviembre,2023164,63888,275517,216746,1238456,228557
2006,Diciembre,2022873,61494,282148,236771,1224869,217591
2007,Enero,2082508,62785,283787,230292,1281604,224040
2007,Febrero,2075275,63102,280838,224256,1279232,227847
2007,Marzo,2059451,64001,279615,219796,1264924,231115
2007,Abril,2023124,63235,277313,218241,1234129,230206
2007,Mayo,1973231,62654,270156,214243,1201624,224554
2007,Junio,1965869,63928,265509,216895,1191208,228329
2007,Julio,1970338,64431,266067,228795,1190159,220886
2007,Agosto,2028296,65341,276997,250883,1218721,216354
2007,Septiembre,2017363,65158,269917,238892,1221460,221936
2007,Octubre,2048577,66765,270556,240385,1253805,217066
2007,Noviembre,2094473,69210,271538,251565,1283684,218476
2007,Diciembre,2129547,68812,279981,283867,1284250,212637
2008,Enero,2261925,75361,289695,292797,1382354,221718
2008,Febrero,2315331,84219,290985,305263,1406114,228750
2008,Marzo,2300975,75692,292313,316990,1384009,231971
2008,Abril,2338517,77407,296943,333637,1401464,229066
2008,Mayo,2353575,77327,299496,349128,1397851,229773
2008,Junio,2390424,80665,301480,370208,1402406,235665
2008,Julio,2426916,81698,306403,390529,1414921,233365
2008,Agosto,2530001,83524,322284,429060,1461265,233868
2008,Septiembre,2625368,85591,329286,443301,1518162,249028
2008,Octubre,2818026,94630,349430,479576,1631882,262508
2008,Noviembre,2989269,100422,372147,520029,1729579,267092
2008,Diciembre,3128963,101338,399872,590730,1776050,260973
2009,Enero,3327801,80703,442682,678141,1936296,189979
2009,Febrero,3481859,86031,468573,706734,2017144,203377
2009,Marzo,3605402,93715,488895,723347,2075035,224410
2009,Abril,3644880,95372,497672,728526,2086939,236371
2009,Mayo,3620139,92920,494991,712621,2073610,245997
2009,Junio,3564889,94451,484357,696254,2041758,248069
2009,Julio,3544095,95101,477446,688962,2027873,254713
2009,Agosto,3629080,95018,488917,709362,2075678,260105
2009,Septiembre,3709447,95378,488280,708078,2140158,277553
2009,Octubre,3808353,107277,494085,716880,2202605,287506
2009,Noviembre,3868946,110067,497325,726788,2240863,293903
2009,Diciembre,3923603,106133,508802,781724,2241065,285879
2010,Enero,4048493,106699,517675,788760,2343195,292164
2010,Febrero,4130625,113570,522791,798675,2388615,306974
2010,Marzo,4166613,120679,525886,797572,2398741,323735
2010,Abril,4142425,124699,519840,782037,2385001,330848
2010,Mayo,4066202,123171,508275,761464,2338621,334671
2010,Junio,3982368,123345,492873,740211,2290353,335586
2010,Julio,3908578,122278,479856,723689,2245857,336898
2010,Agosto,3969661,120950,489046,737295,2283950,338420
2010,Septiembre,4017763,117398,484747,727557,2337535,350526
2010,Octubre,4085976,131259,487185,724860,2386591,356081
2010,Noviembre,4110294,133696,485441,724091,2402348,364718
2010,Diciembre,4100073,126829,491638,753067,2371939,356600
2011,Enero,4231003,129119,499904,758342,2477019,366619
2011,Febrero,4299263,137733,503463,760892,2516588,380587
2011,Marzo,4333669,143431,505173,762528,2531424,391113
